,mss,sot,wmfcc,rms,CLAP_KAD,EnCodec_KAD
real_fKSA_p_audio,468.3289248817845,0.1343037537054011,32.42918500457219,0.0881442659118943,547.7816265423653,494.88380052288375
real_tKSA_p_audio,461.05777138157896,0.1830627106522259,26.631189013046168,0.1584143533940414,403.8256323831338,470.6652116525074
real_fKSA_audio_only,299.4747402793483,0.2982152300445657,14.082973922674542,0.9338998847994312,191.49737769001328,71.90820803743692
real_tKSA_audio_only,262.7151272422389,0.2009214272624568,12.182077071309056,0.968119066131526,163.9546196523731,40.38851283750988
real_hpn_audio_only,246.5982794510691,0.1367256217881252,7.901646879977344,0.9628979321183828,266.2030300123763,17.98793717477354
real_hpn_p_audio_only,183.42812628495065,0.0166435641187586,6.200335300880105,0.9968446519868128,183.11165148556665,5.195194182279872
synth_oKSA_p_only,311.85980786775286,0.2024020874186566,13.183577499146171,0.9533139609057328,193.77668861593733,64.39593298062385
real_tKSA_p_audio_detach_onset,336.7172369706003,0.193780011252353,14.8827419731965,0.8215314192247802,213.531051690304,96.79495689262096
real_tKSA_p_audio_detach_f0,462.99776418585526,0.179394545131608,27.28635526772203,0.1608145119448027,446.44698336879054,480.1032383377102
real_tKSA_p_audio_detach_both,341.4419057745683,0.2126840502023697,15.083981528383086,0.8320862535772653,201.1350774164193,99.00701293172864
real_fKSA_p_audio_detach_onset,393.1263411672492,0.2815824456905064,21.441025259267416,0.8554318863770057,363.81233179234295,118.32611571369544
real_fKSA_p_audio_detach_f0,466.40092548571135,0.2045951987567701,30.80064429460813,0.1225994590735115,431.5167102456423,482.4831657127495
real_fKSA_p_audio_detach_both,348.18458316200656,0.2527837698396883,15.374164876513785,0.8081076112543715,204.18887918343188,116.66224615259011
